,participant_id,status,topic,response
1564,2247,wimi,deutschlandticket,Ja
1565,2248,student,deutschlandticket,
1566,2249,student,deutschlandticket,
1567,2251,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1568,2252,student,deutschlandticket,
1569,2254,student,deutschlandticket,
1570,2255,student,deutschlandticket,
1571,2258,student,deutschlandticket,
1572,2260,student,deutschlandticket,
1573,2261,student,deutschlandticket,
1574,2262,student,deutschlandticket,
1575,2266,student,deutschlandticket,
1576,2267,student,deutschlandticket,
1577,2268,prof,deutschlandticket,Ja
1578,2269,student,deutschlandticket,
1579,2270,student,deutschlandticket,
1580,2272,student,deutschlandticket,
1581,2275,student,deutschlandticket,
1582,2276,student,deutschlandticket,
1583,2277,student,deutschlandticket,
1584,2278,student,deutschlandticket,
1585,2279,student,deutschlandticket,
1586,2281,student,deutschlandticket,
1587,2282,student,deutschlandticket,
1588,2283,student,deutschlandticket,
1589,2284,prof,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1590,2285,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1591,2286,student,deutschlandticket,
1592,2287,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1593,2288,student,deutschlandticket,
1594,2290,student,deutschlandticket,
1595,2291,student,deutschlandticket,
1596,2293,student,deutschlandticket,
1597,2294,student,deutschlandticket,
1598,2296,student,deutschlandticket,
1599,2298,student,deutschlandticket,
1600,2299,student,deutschlandticket,
1601,2300,other,deutschlandticket,Nein
1602,2301,niwi,deutschlandticket,Ja
1603,2302,student,deutschlandticket,
1604,2306,student,deutschlandticket,
1605,2307,student,deutschlandticket,
1606,2310,niwi,deutschlandticket,Nein
1607,2311,other,deutschlandticket,Nein
1608,2312,wimi,deutschlandticket,Ja
1609,2313,niwi,deutschlandticket,Ja
1610,2314,niwi,deutschlandticket,Nein
1611,2316,niwi,deutschlandticket,Kommt darauf an...
1612,2317,niwi,deutschlandticket,Kommt darauf an...
1613,2318,niwi,deutschlandticket,Nein
1614,2320,niwi,deutschlandticket,Nein
1615,2321,student,deutschlandticket,
1616,2322,niwi,deutschlandticket,Nein
1617,2323,student,deutschlandticket,
1618,2325,niwi,deutschlandticket,Ja
1619,2326,niwi,deutschlandticket,Nein
1620,2328,niwi,deutschlandticket,Nein
1621,2330,niwi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1622,2331,niwi,deutschlandticket,Nein
1623,2333,niwi,deutschlandticket,Nein
1624,2334,niwi,deutschlandticket,Nein
1625,2336,niwi,deutschlandticket,Ja
1626,2338,niwi,deutschlandticket,Nein
1627,2339,student,deutschlandticket,
1628,2340,niwi,deutschlandticket,Ja
1629,2343,niwi,deutschlandticket,Ja
1630,2344,niwi,deutschlandticket,Nein
1631,2345,student,deutschlandticket,
1632,2346,wimi,deutschlandticket,Ja
1633,2347,niwi,deutschlandticket,Ja
1634,2348,niwi,deutschlandticket,Ja
1635,2350,niwi,deutschlandticket,Ja
1636,2351,student,deutschlandticket,Ja
1637,2354,student,deutschlandticket,
1638,2355,niwi,deutschlandticket,Nein
1639,2356,student,deutschlandticket,
1640,2357,student,deutschlandticket,
1641,2358,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1642,2359,niwi,deutschlandticket,Nein
1643,2360,niwi,deutschlandticket,Nein
1644,2361,niwi,deutschlandticket,Ja
1645,2362,niwi,deutschlandticket,Kommt darauf an...
1646,2363,niwi,deutschlandticket,Nein
1647,2364,student,deutschlandticket,
1648,2365,niwi,deutschlandticket,Nein
1649,2366,niwi,deutschlandticket,nicht beantwortet
1650,2367,niwi,deutschlandticket,nicht beantwortet
1651,2368,other,deutschlandticket,Ja
1652,2369,other,deutschlandticket,Nein
1653,2371,niwi,deutschlandticket,Nein
1654,2372,niwi,deutschlandticket,Ja
1655,2374,niwi,deutschlandticket,Kommt darauf an...
1656,2375,niwi,deutschlandticket,Kommt darauf an...
1657,2377,niwi,deutschlandticket,Kommt darauf an...
1658,2378,wimi,deutschlandticket,Ja
1659,2379,other,deutschlandticket,Nein
1660,2380,niwi,deutschlandticket,Kommt darauf an...
1661,2382,niwi,deutschlandticket,Nein
