,participant_id,status,main_vehicle,topic,response
4574,3199,student,bicycle,present,2
4575,3199,student,bicycle,future,no_opinion
4576,3200,prof,car-passenger,present,0
4577,3200,prof,car-passenger,future,1
4578,3201,student,car-driver,present,-2
4579,3201,student,car-driver,future,1
4580,3202,wimi,,present,no_opinion
4581,3202,wimi,,future,no_opinion
4582,3203,niwi,car-driver,present,-1
4583,3203,niwi,car-driver,future,1
4584,3204,student,bus,present,2
4585,3204,student,bus,future,0
4586,3205,student,car-driver,present,-2
4587,3205,student,car-driver,future,-2
4588,3207,wimi,bicycle,present,2
4589,3207,wimi,bicycle,future,-1
4590,3209,niwi,car-driver,present,-2
4591,3209,niwi,car-driver,future,-2
4592,3210,student,bus,present,2
4593,3210,student,bus,future,0
4594,3211,niwi,ebike,present,-1
4595,3211,niwi,ebike,future,1
4596,3212,student,car-driver,present,-1
4597,3212,student,car-driver,future,1
4598,3214,student,bus,present,2
4599,3214,student,bus,future,-1
4600,3215,student,bicycle,present,1
4601,3215,student,bicycle,future,0
4602,3217,student,car-driver,present,0
4603,3217,student,car-driver,future,-2
4604,3219,other,car-driver,present,0
4605,3219,other,car-driver,future,-2
4606,3220,student,car-driver,present,-1
4607,3220,student,car-driver,future,-1
4608,3221,wimi,car-driver,present,-1
4609,3221,wimi,car-driver,future,-1
4610,3222,student,bus,present,1
4611,3222,student,bus,future,-1
4612,3223,niwi,bus,present,1
4613,3223,niwi,bus,future,no_answer
4614,3224,student,bus,present,1
4615,3224,student,bus,future,-2
4616,3226,student,bus,present,1
4617,3226,student,bus,future,no_answer
4618,3227,student,walk,present,2
4619,3227,student,walk,future,no_opinion
4620,3228,niwi,car-driver,present,-2
4621,3228,niwi,car-driver,future,-1
4622,3230,student,bus,present,1
4623,3230,student,bus,future,-1
4624,3231,wimi,bus,present,2
4625,3231,wimi,bus,future,-2
4626,3232,wimi,bicycle,present,2
4627,3232,wimi,bicycle,future,-2
4628,3233,student,car-driver,present,-2
4629,3233,student,car-driver,future,-1
4630,3234,niwi,car-driver,present,0
4631,3234,niwi,car-driver,future,0
4632,3236,student,car-driver,present,-1
4633,3236,student,car-driver,future,2
4634,3237,niwi,ebike,present,2
4635,3237,niwi,ebike,future,no_opinion
4636,3238,student,bus,present,2
4637,3238,student,bus,future,no_opinion
4638,3239,student,bus,present,1
4639,3239,student,bus,future,no_opinion
4640,3240,niwi,car-driver,present,-1
4641,3240,niwi,car-driver,future,1
4642,3241,student,car-driver,present,2
4643,3241,student,car-driver,future,no_opinion
4644,3242,student,bus,present,1
4645,3242,student,bus,future,-1
4646,3244,student,train-short,present,2
4647,3244,student,train-short,future,-2
4648,3246,student,train-short,present,2
